ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,AVG(UTCI)_5:00,AVG(UTCI)_6:00,AVG(UTCI)_7:00,AVG(UTCI)_8:00,AVG(UTCI)_9:00,AVG(UTCI)_10:00,AVG(UTCI)_11:00,AVG(UTCI)_12:00,AVG(UTCI)_13:00,AVG(UTCI)_14:00,AVG(UTCI)_15:00,AVG(UTCI)_16:00,AVG(UTCI)_17:00,AVG(UTCI)_18:00,AVG(UTCI)_19:00,AVG(UTCI)_20:00,AVG(UTCI)_21:00,AVG(UTCI)_22:00,AVG(UTCI)_23:00,AVG(UTCI)_0:00,AVG(UTCI)_1:00,AVG(UTCI)_2:00,AVG(UTCI)_3:00,AVG(UTCI)_4:00
91,Student_Service,New_Museum_Site,Student_Service_New_Museum_Site,1762,2015,1700s,2000s,CC_26,180*180,1008.844,6.811,1.157,1.053,70.406,0.000,0.000,16.206812,19.140252,23.01187,26.390767,30.908584,35.100454,37.697613,38.343856,38.39999,38.44847,37.038391,34.630971,32.494906,29.713516,27.215439,25.289771,20.717143,19.693974,18.752212,18.120122,17.756247,17.46078,16.85373,16.205771
92,Zoology,New_Museum_Site,Zoology_New_Museum_Site,1762,2015,1700s,2000s,CC_26,180*180,1136.247,5.704,1.391,1.096,159.818,0.000,0.000,16.388599,19.255756,23.162361,27.274079,30.505438,32.924274,35.790514,36.815732,37.470875,37.70094,36.145844,34.1604,32.002694,29.736808,27.238335,25.344427,21.179877,19.855688,18.825041,18.19919,17.859082,17.5592,16.940435,16.317819
93,17_ML_E,Mill_Lane_Site,17_ML_E_Mill_Lane_Site,1830,1877,1800s,1800s,CC_27,120*120,590.026,3.526,1.118,1.099,159.141,0.000,0.000,16.267732,19.577122,23.632003,28.117892,32.444711,35.419856,37.783976,38.946666,39.476082,39.712411,38.063539,36.520313,32.501141,30.168397,27.548372,25.479712,21.123597,19.853948,18.87276,18.215704,17.809627,17.528394,16.911868,16.268603
94,17_ML_W,Mill_Lane_Site,17_ML_W_Mill_Lane_Site,1830,1960,1800s,1900s,CC_27,120*120,241.694,4.791,1.221,1.592,72.292,0.000,0.000,16.235029,19.541468,23.940941,29.378782,34.522414,37.031431,38.488348,39.658903,39.559523,39.641076,37.051397,35.060008,32.564354,30.27086,27.595181,25.476303,21.019047,19.835274,18.784541,18.139046,17.755358,17.461734,16.845002,16.198884
95,4_ML,Mill_Lane_Site,4_ML_Mill_Lane_Site,1830,1960,1800s,1900s,CC_27,120*120,788.122,3.856,1.872,1.312,72.670,0.000,0.000,16.192176,19.544265,23.650368,28.034116,32.004308,34.712638,37.28398,38.67258,38.848488,38.482805,36.611766,34.53858,33.247181,30.318043,27.485111,25.464691,20.597288,19.816365,18.811889,18.173489,17.73703,17.474564,16.881516,16.220289
96,Dept_Arch,Engineering_Site,Dept_Arch_Engineering_Site,1875,1959,1800s,1900s,CW_28,180*180,359.981,5.090,1.604,2.325,19.622,0.497,0.000,16.616051,19.472651,23.179843,26.697486,29.589064,33.077369,35.988695,37.227913,38.155501,38.648772,37.159309,34.931743,32.248417,29.864196,27.319532,25.636712,21.354397,20.113147,19.105734,18.459459,18.111437,17.813099,17.175412,16.563044
97,Dept_Engr,Engineering_Site,Dept_Engr_Engineering_Site,1875,1952,1800s,1900s,CW_28,180*180,688.456,6.504,1.171,1.579,41.743,0.000,0.000,16.486693,19.596085,23.531977,27.163817,30.953764,33.558883,36.582649,37.817252,38.754333,38.956337,38.23221,35.510307,32.419916,30.042354,27.416423,25.528133,21.372112,20.043104,18.922981,18.28964,17.940608,17.642043,17.025712,16.388877
98,Raised_Building,Sidwick_Site,Raised_Building_Sidwick_Site,1952,1961,1900s,1900s,SW_29,150*150,2221.087,1.530,1.067,2.043,88.011,0.698,0.177,16.622191,20.045535,25.467275,29.468306,31.521248,33.559352,35.454163,36.825552,37.44706,37.020274,35.999449,34.731515,32.375651,29.534629,27.198037,25.658316,20.43567,19.606519,18.893035,18.215759,17.956615,17.679105,17.034319,16.423474
99,Criminology,Sidwick_Site,Criminology_Sidwick_Site,1952,2005,1900s,2000s,SW_29,150*150,1127.072,2.991,1.080,2.760,178.360,0.492,0.406,16.854789,19.413026,23.021074,26.696214,29.51037,31.805028,34.167586,36.499741,36.760158,36.781011,35.382306,34.063035,31.787478,29.675538,27.350319,25.805013,21.272059,20.1848,19.211983,18.572175,18.196652,17.932701,17.340831,16.711109
100,Whittle_Lab_N,West_Cam_Site,Whittle_Lab_N_West_Cam_Site,1966,1969,1900s,1900s,NW_30,225*225,71.824,1.985,1.001,1.085,98.598,0.000,0.000,15.82548,24.165484,28.674805,35.188266,37.089358,38.985912,39.366399,40.012676,41.185476,42.157294,42.27702,41.291045,36.745607,33.853481,26.940922,25.226424,20.647833,19.274417,18.255835,17.559351,17.263571,16.950885,16.242434,15.613049
101,Whittle_Lab_S,West_Cam_Site,Whittle_Lab_S_West_Cam_Site,1966,1969,1900s,1900s,NW_30,225*225,103.372,1.388,1.038,1.731,98.668,0.000,0.000,15.884868,24.778713,29.354088,35.083173,36.921299,38.843452,39.421687,39.99954,41.274886,42.199841,42.247119,41.209375,37.178886,31.029867,26.931604,25.239648,20.727681,19.305041,18.267115,17.574302,17.278399,16.976065,16.27978,15.641832
102,Whilliam_Gates_N,West_Cam_Site,Whilliam_Gates_N_West_Cam_Site,1966,2001,1900s,2000s,NW_30,225*225,511.624,2.541,1.041,1.771,107.080,0.000,0.446,16.97194,19.90534,23.807516,27.510118,30.579453,33.199904,34.955852,36.439594,36.644581,36.889225,35.417517,33.963919,32.11084,29.995432,27.455124,25.70261,21.765841,20.429997,19.473538,18.836345,18.452499,18.14546,17.550008,16.925335
103,Whilliam_Gates_S,West_Cam_Site,Whilliam_Gates_S_West_Cam_Site,1966,2001,1900s,2000s,NW_30,225*225,698.564,2.106,1.008,1.297,107.099,0.000,0.316,16.797074,19.746856,24.36952,28.75238,31.699208,34.509335,36.140124,37.147788,37.566299,37.63075,36.680837,35.307292,32.752874,29.977753,27.437578,25.720021,21.575124,20.230839,19.261666,18.6196,18.262085,17.962914,17.34394,16.720977
104,Rodger_Needham,West_Cam_Site,Rodger_Needham_West_Cam_Site,1966,1997,1900s,1900s,NW_30,225*225,365.325,4.561,1.038,1.726,107.136,0.000,0.430,16.943126,19.93015,23.681789,27.14614,29.705612,32.809755,34.184954,35.792639,36.120539,36.170923,35.613195,34.171134,32.26453,30.008478,27.351885,25.676912,21.7903,20.447258,19.517844,18.891274,18.50158,18.182686,17.580561,16.971199
105,Alan_Reece,West_Cam_Site,Alan_Reece_West_Cam_Site,1966,2009,1900s,2000s,NW_31,120*120,433.239,6.310,1.000,1.000,9.204,0.000,0.178,16.530306,19.960985,24.074547,28.298715,32.175599,34.998992,37.420905,38.756353,38.962539,38.906521,37.760608,36.289412,33.063667,30.815172,27.761168,25.662583,21.41342,20.051674,19.050058,18.397496,18.009024,17.693153,17.069168,16.435807
106,AVEVA_Group,West_Cam_Site,AVEVA_Group_West_Cam_Site,1966,1967,1900s,1900s,NW_32,120*120,564.136,1.971,1.391,1.367,17.835,0.470,0.100,16.561089,19.463618,24.552018,29.272257,32.619073,35.081513,36.768787,37.554138,38.533092,39.421586,38.17454,36.175467,32.820778,30.410494,27.542725,25.713136,21.458215,20.07008,19.028293,18.3697,17.929719,17.674941,17.057823,16.416227
107,British_Antarctic,West_Cam_Site,British_Antarctic_West_Cam_Site,1966,1975,1900s,1900s,NW_33,120*120,865.898,1.434,1.000,1.037,21.094,0.000,0.433,16.789782,19.491274,23.902557,27.63272,30.962657,34.043403,36.576725,38.28459,38.898805,39.089012,37.17368,35.361657,32.99687,30.401043,27.677963,25.808297,21.380312,20.292564,19.286151,18.635951,18.210151,17.912438,17.319027,16.673908
