ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,SD(UTCI)_5:00,SD(UTCI)_6:00,SD(UTCI)_7:00,SD(UTCI)_8:00,SD(UTCI)_9:00,SD(UTCI)_10:00,SD(UTCI)_11:00,SD(UTCI)_12:00,SD(UTCI)_13:00,SD(UTCI)_14:00,SD(UTCI)_15:00,SD(UTCI)_16:00,SD(UTCI)_17:00,SD(UTCI)_18:00,SD(UTCI)_19:00,SD(UTCI)_20:00,SD(UTCI)_21:00,SD(UTCI)_22:00,SD(UTCI)_23:00,SD(UTCI)_0:00,SD(UTCI)_1:00,SD(UTCI)_2:00,SD(UTCI)_3:00,SD(UTCI)_4:00
21,NA_W,Corpus_Cristi,NA_W_Corpus_Cristi,1349,1960,1300s,1900s,CC_08,180*180,35.087,11.326,1.048,1.857,172.101,0.000,0.000,0.025324,0.035273,0.035195,0.035805,0.037416,0.036516,0.032122,3.56122,3.587385,0.042869,0.04106,0.036694,0.030467,0.023892,0.010346,0.009721,0.026716,0.026508,0.029553,0.031244,0.030635,0.030225,0.031987,0.033398
22,Old,Pembroke,Old_Pembroke,1347,1614,1300s,1600s,CC_09,150*150,1071.035,1.794,1.005,1.421,153.653,0.530,0.000,0.748424,3.844662,4.424099,3.463766,3.291352,2.278583,2.045482,1.356492,1.455269,1.159471,1.740439,2.072094,3.177033,3.086821,0.98507,0.117458,0.718927,0.709152,0.525184,0.576925,0.315156,0.282273,0.346536,0.282894
23,Ivy,Pembroke,Ivy_Pembroke,1347,1616,1300s,1600s,CC_09,150*150,1022.986,2.025,1.053,1.347,62.200,0.456,0.010,0.696576,4.075581,3.982697,3.267469,3.355966,2.65361,2.505255,2.021565,2.062427,2.417047,3.104849,3.204124,3.550351,2.899405,0.072821,0.123824,0.666693,0.754899,0.734828,0.799925,0.514431,0.488817,0.577045,0.519651
24,Chimney,Pembroke,Chimney_Pembroke,1347,1920,1300s,1900s,CC_09,150*150,105.834,18.266,1.224,1.455,71.913,0.000,0.000,0.051692,0.063154,0.061481,2.487709,3.086406,2.763366,2.516671,2.750372,2.78379,3.231445,3.219657,3.635494,2.155269,0.057115,0.030816,0.03609,0.04754,0.056122,0.064529,0.070042,0.063104,0.063268,0.074215,0.072635
25,Old,Peterhouse,Old_Peterhouse,1280,1290,1200s,1200s,CW_10,150*150,1193.130,2.071,1.038,1.821,70.785,0.426,0.000,0.939016,4.182433,4.101362,3.06462,3.467444,2.712013,2.563476,2.116604,2.153638,2.270371,2.978671,3.160052,3.584802,2.868997,0.115725,0.05961,0.167826,0.127344,0.302293,0.328019,0.268605,0.243931,0.263176,0.26385
26,Gisborne,Peterhouse,Gisborne_Peterhouse,1280,1826,1200s,1800s,CW_10,150*150,734.957,2.491,1.001,1.130,159.268,0.369,0.111,0.119655,2.681467,4.567109,4.089621,3.854178,2.840303,2.662597,2.015857,2.066847,2.341463,3.263605,3.582661,3.777769,3.224682,0.869625,0.199886,0.652257,0.359581,0.162277,0.180281,0.125211,0.121111,0.132488,0.140493
27,Main,St_Catherine,Main_St_Catherine,1473,1935,1400s,1900s,CW_11,225*225,2475.782,1.331,1.090,2.228,78.544,0.539,0.056,1.315785,3.756051,3.124597,2.319717,2.928851,2.441526,2.272403,1.994022,2.031405,2.161172,2.57439,2.667854,2.905084,2.917374,0.925832,0.22239,0.654651,0.501199,0.595901,0.639705,0.518545,0.50559,0.551279,0.529217
28,Sherlock,St_Catherine,Sherlock_St_Catherine,1473,1935,1400s,1900s,CW_11,225*225,745.751,3.538,1.037,1.342,163.942,0.422,0.285,0.410892,0.544655,3.123518,4.314138,3.945897,3.439213,3.063909,2.665016,2.686583,3.04035,3.43628,3.639001,3.501094,2.376538,0.146533,0.257152,0.75372,0.485123,0.324444,0.336611,0.352227,0.352067,0.362223,0.375329
29,Chapel,St_Catherine,Chapel_St_Catherine,1473,1936,1400s,1900s,CW_11,225*225,389.336,9.052,1.545,0.695,160.408,0.000,0.186,0.450066,2.708808,4.491269,4.310391,4.102873,3.662433,3.380545,3.152391,3.195526,3.257338,3.535883,3.660592,3.605825,2.641602,0.144718,0.326974,1.108837,0.734516,0.448899,0.489018,0.346347,0.35143,0.387619,0.369763
30,Old,Queens,Old_Queens,1465,1448,1400s,1400s,CW_11,225*225,765.466,2.232,1.003,1.146,79.488,0.000,0.000,0.099299,3.491135,4.506158,3.682962,3.682614,2.899312,2.725174,2.199679,2.237146,2.667916,3.304683,3.512764,3.69801,3.078451,0.024423,0.040257,0.182506,0.119487,0.103063,0.110958,0.104865,0.101881,0.110156,0.117822
